	slovak	polish
0	Mám ísť s tebou?	Mam iść z tobą?
1	Ahoj.	Cześć.
2	Ja nechcem tak dlho čakať.	Nie chcę tak długo czekać.
3	Jeden, dva, tri, štyri, päť, šesť, sedem, osem, deväť, desať.	Jeden, dwa, trzy, cztery, pięć, sześć, siedem, osiem, dziewięć, dziesięć.
4	Ellen nehovorí po anglicky.	Ellen nie mówi po angielsku.
5	Kto je ten chlap?	Kim jest ten mężczyzna?
6	Sú všetci rovnakí?	Wszyscy są tacy sami?
7	Zastávka autobusu je blízko našej školy.	Przystanek autobusowy jest blisko naszej szkoły.
8	Leto sa skončilo.	Lato się skończyło.
9	Ako sa máš?	Jak się masz?
10	Ked' učiteľ dočítal, jeden zo žiakov zdvihol ruku.	Kiedy nauczyciel skończył czytać, jeden z uczniów podniósł rękę.
11	Ona hovorí po anglicky a nemecky.	Ona mówi po angielsku i po niemiecku.
12	Môžete mi pomôcť?	Możecie mi pomóc?
13	Môžete mi pomôcť?	Może mi pan pomóc?
14	Môžete mi pomôcť?	Może mi pani pomóc?
15	Stratil som moje hodinky.	Zgubiłem zegarek.
16	Život nie je ľahký.	Życie nie jest łatwe.
17	Snáď máte pravdu.	Może macie rację.
18	Mám recept pre tento liek.	Mam na ten lek receptę.
19	Som si istý, že nájdeme riešenie.	Jestem pewien, że znajdziemy rozwiązanie.
20	Dobrý deň!	Dzień dobry!
21	Potrebujú pomoc.	Potrzebują pomocy.
22	V tejto knihe sa píše, že slon sa dožíva až sto rokov.	W tej książce jest napisane, że słoń dożywa aż stu lat.
23	Získal cenu. Presne ako sme očakávali.	Dostał nagrodę. Tak jak oczekiwaliśmy.
24	O koľkej zvyčajne odchádzaš z domu?	O której zwykle wychodzisz z domu?
25	Odoberáš nejaké časopisy?	Prenumerujesz jakieś czasopisma?
26	Truman dorazil do Bieleho Domu v priebehu niekoľkých minút.	Truman w kilka minut dotarł do Białego Domu.
27	To nie moja vina.	To nie moja wina.
28	Lidia má plavé rovné vlasy.	Lidia ma proste blond włosy.
29	Cítil som sa zle.	Czułem się źle.
30	On hovorí príliš rýchlo.	On mówi za szybko.
31	Videl som psa. Pes držal v papuli kus mäsa.	Widziałem psa. Pies trzymał w pysku kawał mięsa.
32	Pochoval som svojho psa na zvieracom cintoríne.	Pochowałem swojego psa na zwierzęcym cmentarzu.
33	Zastavil, aby sa obul.	Zatrzymał się, żeby włożyć buty.
34	Prosím, zadržte dych.	Proszę, wstrzymajcie oddech.
35	Náš vlak zrazu zastavil.	Nasz pociąg nagle się zatrzymał.
36	Niektorí zo študentov radi hrajú na gitare.	Niektórzy ze studentów lubią grać na gitarze.
37	Povie ti iba to, čo si myslí, že chceš počuť.	Powie ci tylko to, co myśli, że chcesz usłyszeć.
38	Pozerala naňho nahnevane.	Patrzyła na niego gniewnym wzrokiem.
39	Mala by som upratať izbu.	Powinnam posprzątać w pokoju.
40	Čas letí.	Czas płynie.
41	Pôjde na stanicu hodinu predtým, ako odíde vlak.	Pójdzie na dworzec godzinę przed odjazdem pociągu.
42	Nenechávaj zapnuté svetlá, keď opúšťaš izbu.	Nie zostawiaj włączonych świateł kiedy wychodzisz z pokoju.
43	Zavri dvere keď odídeš.	Zamknij drzwi, jak będziesz wychodzić.
44	Hovoríš po albánsky?	Mówisz po albańsku?
45	Utečenci sa skryli pod mostom.	Uchodźcy ukryli się pod mostem.
46	"Používanie len ""Tom"" a ""Mike"" v mnohých vetách je veľmi čudné."	"Stosowanie tylko ""Tom"" i ""Mike"" w wielu zdaniach jest bardzo dziwne."
47	Zostáva 10 minút do konca hodiny.	Jeszcze dziesięć minut do końca lekcji.
48	Timuçin sa učí po poľsky.	Timuçin uczy się polskiego.
49	Chcem sa oženiť s Martinou.	Chcę się ożenić z Martiną.
50	Gratulujem!	Moje gratulacje!
51	Gratulujem!	Gratuluję!
52	Dobrý deň.	Dzień dobry.
53	Kde sme?	Gdzie jesteśmy?
54	Idem do kina.	Idę do kina.
55	Som tehotná.	Jestem w ciąży.
